PackageName,URL
juliadatascience.io/notation,https://juliadatascience.io:/notation
juliadatascience.io/preface,https://juliadatascience.io:/preface
juliadatascience.io/programmers,https://juliadatascience.io:/programmers
juliadatascience.io/pt,https://juliadatascience.io:/pt
juliadatascience.io/pt,https://juliadatascience.io:/pt/DataVisualizationMakie
juliadatascience.io/pt,https://juliadatascience.io:/pt/agradecimentos
juliadatascience.io/pt,https://juliadatascience.io:/pt/appendix
juliadatascience.io/pt,https://juliadatascience.io:/pt/appendix_pkg
juliadatascience.io/pt,https://juliadatascience.io:/pt/cairomakie
juliadatascience.io/pt,https://juliadatascience.io:/pt/data_structures
juliadatascience.io/pt,https://juliadatascience.io:/pt/dataframes
juliadatascience.io/pt,https://juliadatascience.io:/pt/datavisMakie_attributes
juliadatascience.io/pt,https://juliadatascience.io:/pt/df_performance
juliadatascience.io/pt,https://juliadatascience.io:/pt/engineering
juliadatascience.io/pt,https://juliadatascience.io:/pt/filesystem
juliadatascience.io/pt,https://juliadatascience.io:/pt/filter_subset
juliadatascience.io/pt,https://juliadatascience.io:/pt/glmakie
juliadatascience.io/pt,https://juliadatascience.io:/pt/groupby_combine
juliadatascience.io/pt,https://juliadatascience.io:/pt/join
juliadatascience.io/pt,https://juliadatascience.io:/pt/julia_accomplish
juliadatascience.io/pt,https://juliadatascience.io:/pt/julia_basics
juliadatascience.io/pt,https://juliadatascience.io:/pt/julia_wild
juliadatascience.io/pt,https://juliadatascience.io:/pt/load_save
juliadatascience.io/pt,https://juliadatascience.io:/pt/makie_colors
juliadatascience.io/pt,https://juliadatascience.io:/pt/makie_layouts
juliadatascience.io/pt,https://juliadatascience.io:/pt/missing_data
juliadatascience.io/pt,https://juliadatascience.io:/pt/non-programmers
juliadatascience.io/pt,https://juliadatascience.io:/pt/notation
juliadatascience.io/pt,https://juliadatascience.io:/pt/preface
juliadatascience.io/pt,https://juliadatascience.io:/pt/programmers
juliadatascience.io/pt,https://juliadatascience.io:/pt/select
juliadatascience.io/pt,https://juliadatascience.io:/pt/standardlibrary
juliadatascience.io/pt,https://juliadatascience.io:/pt/syntax
juliadatascience.io/pt,https://juliadatascience.io:/pt/themes
usando-latexstrings.jl,https://juliadatascience.io:/pt/usando-latexstrings.jl
juliadatascience.io/pt,https://juliadatascience.io:/pt/why_data_science
juliadatascience.io/pt,https://juliadatascience.io:/pt/why_julia
juliadatascience.io/recipe_df,https://juliadatascience.io:/recipe_df
juliadatascience.io/references,https://juliadatascience.io:/references
juliadatascience.io/select,https://juliadatascience.io:/select
juliadatascience.io/standardlibrary,https://juliadatascience.io:/standardlibrary
juliadatascience.io/syntax,https://juliadatascience.io:/syntax
juliadatascience.io/themes,https://juliadatascience.io:/themes
juliadatascience.io/transform,https://juliadatascience.io:/transform
juliadatascience.io/types,https://juliadatascience.io:/types
using-latexstrings.jl,https://juliadatascience.io:/using-latexstrings.jl
juliadatascience.io/why_data_science,https://juliadatascience.io:/why_data_science
juliadatascience.io/why_julia,https://juliadatascience.io:/why_julia
juliadb.juliadata.org,https://juliadb.juliadata.org/latest
juliadb.juliadata.org:,https://juliadb.juliadata.org:/latest
juliadb.juliadata.org:,https://juliadb.juliadata.org:/latest/api
juliadb.juliadata.org:,https://juliadb.juliadata.org:/latest/basics
juliadb.juliadata.org:,https://juliadb.juliadata.org:/latest/joins
juliadb.juliadata.org:,https://juliadb.juliadata.org:/latest/missing_values
juliadb.juliadata.org:,https://juliadb.juliadata.org:/latest/ml
juliadb.juliadata.org:,https://juliadb.juliadata.org:/latest/onlinestats
juliadb.juliadata.org:,https://juliadb.juliadata.org:/latest/operations
juliadb.juliadata.org:,https://juliadb.juliadata.org:/latest/out_of_core
juliadb.juliadata.org:,https://juliadb.juliadata.org:/latest/plotting
juliadb.juliadata.org:,https://juliadb.juliadata.org:/latest/tutorial
Tables.jl,https://tables.juliadata.org/dev
Tables.jl,https://tables.juliadata.org:/dev
04-read_data.html#csv-files-with-csv.jl,https://tutorials.pumas.ai/html/DataWranglingInJulia/04-read_data.html#csv-files-with-csv.jl
tutorials.pumas.ai/html,https://tutorials.pumas.ai/html/DataWranglingInJulia/09-missing_data.html
TypedTables.jl,https://typedtables.juliadata.org/stable
TypedTables.jl,https://typedtables.juliadata.org:/stable
TypedTables.jl,https://typedtables.juliadata.org:/stable/man/acceleratedarrays
TypedTables.jl,https://typedtables.juliadata.org:/stable/man/data
TypedTables.jl,https://typedtables.juliadata.org:/stable/man/dicttable
TypedTables.jl,https://typedtables.juliadata.org:/stable/man/filter
TypedTables.jl,https://typedtables.juliadata.org:/stable/man/flextable
TypedTables.jl,https://typedtables.juliadata.org:/stable/man/group
TypedTables.jl,https://typedtables.juliadata.org:/stable/man/io
TypedTables.jl,https://typedtables.juliadata.org:/stable/man/join
TypedTables.jl,https://typedtables.juliadata.org:/stable/man/map
TypedTables.jl,https://typedtables.juliadata.org:/stable/man/reduce
TypedTables.jl,https://typedtables.juliadata.org:/stable/man/reference
TypedTables.jl,https://typedtables.juliadata.org:/stable/man/table
TypedTables.jl,https://typedtables.juliadata.org:/stable/man/tutorial
